,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,18.95,50.17,0.84,5.84,34.1,62.37,33.62,100.0,53.5,0.5694,17.61,50.25,0.0,2.58,33.77,33.46,33.55,0.0,66.81,0.5392
split 1,21.66,50.18,0.0,14.81,34.8,26.81,34.02,0.0,46.42,0.5687,16.55,49.66,0.0,0.0,32.84,11.07,33.2,0.0,0.0,0.5477
split 2,23.81,50.69,0.0,20.75,35.88,27.57,34.65,0.0,48.08,0.5734,17.51,48.94,0.0,3.59,32.68,19.86,32.82,0.0,26.74,0.541
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5741,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5445
split 4,21.01,50.17,0.0,12.86,34.49,25.55,33.97,0.0,42.68,0.5731,23.09,47.67,0.0,21.59,33.39,22.53,33.21,0.0,34.39,0.5148
split 5,19.89,49.82,0.0,9.84,33.96,25.01,33.61,0.0,41.42,0.5693,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5359
mean,20.33,50.17,0.14,10.68,34.43,29.74,33.87,16.67,38.68,0.5713,18.02,49.42,0.0,4.63,33.22,18.19,33.24,0.0,21.32,0.5372
std,2.23,0.26,0.31,6.6,0.79,15.63,0.42,37.27,17.74,0.0022,2.31,0.89,0.0,7.71,0.37,8.22,0.22,0.0,24.61,0.0107
test mean,18.771212367448577,50.1909834385522,0.0,6.12265366379354,34.04329966026379,19.56713150394713,33.7096089613518,0.0,24.991785550489606,0.5679048055493868,19.165308761067763,50.060474330527505,0.0,7.435451952675788,33.80317277196825,19.02603850473193,33.80495698411647,0.0,23.2731585300793,0.543473458625354
test std,3.1465362234172334,0.8166889784478326,0.0,9.135629591325094,1.4818996923539887,11.324061220382738,0.6942581532094279,0.0,33.64674054269367,0.03518798554755914,2.58406030675721,1.0931828369673608,0.0,7.6277560736148855,1.149655530282457,10.777118694233911,0.7692928298622367,0.0,31.913480356992235,0.053007057613619554
