plant,time point,cell,label
p3 FM6 flower 1,0,13266,1
p3 FM6 flower 1,0,13307,0
p3 FM6 flower 1,0,13326,1
p3 FM6 flower 1,0,13327,1
p3 FM6 flower 1,0,13331,0
p3 FM6 flower 1,0,13345,1
p3 FM6 flower 1,0,13355,1
p3 FM6 flower 1,0,13371,0
p3 FM6 flower 1,0,13372,0
p3 FM6 flower 1,0,13419,0
p3 FM6 flower 1,0,13470,0
p3 FM6 flower 1,0,13673,1
p3 FM6 flower 1,0,13679,1
p3 FM6 flower 1,0,13681,0
p3 FM6 flower 1,0,13686,0
p3 FM6 flower 1,0,13688,1
p3 FM6 flower 1,0,13696,0
p3 FM6 flower 1,0,13704,1
p3 FM6 flower 1,0,13705,1
p3 FM6 flower 1,0,13707,0
p3 FM6 flower 1,0,13721,1
p3 FM6 flower 1,0,13723,1
p3 FM6 flower 1,0,13726,1
p3 FM6 flower 1,0,13731,0
p3 FM6 flower 1,0,13742,1
p3 FM6 flower 1,0,13743,1
p3 FM6 flower 1,0,13748,1
p3 FM6 flower 1,1,12708,1
p3 FM6 flower 1,1,12711,1
p3 FM6 flower 1,1,12716,1
p3 FM6 flower 1,1,12725,0
p3 FM6 flower 1,1,12730,1
p3 FM6 flower 1,1,12732,1
p3 FM6 flower 1,1,12734,0
p3 FM6 flower 1,1,12740,0
p3 FM6 flower 1,1,12843,1
p3 FM6 flower 1,1,12851,1
p3 FM6 flower 1,1,12858,1
p3 FM6 flower 1,1,12863,0
p3 FM6 flower 1,1,12864,1
p3 FM6 flower 1,1,12865,1
p3 FM6 flower 1,1,12872,1
p3 FM6 flower 1,1,12878,1
p3 FM6 flower 1,1,12881,1
p3 FM6 flower 1,1,12882,1
p3 FM6 flower 1,1,12891,0
p3 FM6 flower 1,1,12892,1
p3 FM6 flower 1,1,12893,1
p3 FM6 flower 1,1,12901,1
p3 FM6 flower 1,1,12908,1
p3 FM6 flower 1,1,12910,1
p3 FM6 flower 1,1,12911,0
p3 FM6 flower 1,1,12924,1
p3 FM6 flower 1,1,12925,1
