,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5843,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5602
split 1,22.5,50.22,0.0,17.29,35.15,27.34,34.14,0.0,47.87,0.5884,26.28,45.43,0.0,33.42,34.53,24.79,32.43,0.0,41.92,0.506
split 2,27.44,49.92,0.0,32.38,37.01,26.59,35.24,0.0,44.54,0.593,23.85,45.87,0.0,25.68,32.98,22.73,32.32,0.0,35.87,0.5517
split 3,25.86,50.1,0.0,27.48,36.28,26.36,34.88,0.0,44.22,0.5825,16.55,49.64,0.0,0.0,32.93,11.05,33.15,0.0,0.0,0.5531
split 4,22.64,50.23,0.0,17.69,35.09,26.27,34.24,0.0,44.58,0.5903,16.73,50.18,0.0,0.0,33.33,11.16,33.49,0.0,0.0,0.5152
split 5,23.19,50.34,0.0,19.23,35.23,25.55,34.48,0.0,42.16,0.5849,18.68,49.52,0.0,6.53,33.42,23.76,33.28,0.0,37.99,0.5315
mean,23.05,50.14,0.0,19.01,35.35,23.87,34.38,0.0,37.23,0.5873,19.79,48.44,0.0,10.94,33.42,17.43,33.0,0.0,19.3,0.5363
std,3.38,0.14,0.0,10.14,1.14,5.73,0.6,0.0,16.73,0.0036,3.86,1.99,0.0,13.55,0.53,6.35,0.45,0.0,19.38,0.0203
test mean,20.554161627095027,49.06440594699163,0.0,12.598078934293467,34.52414273813243,17.490042346269355,34.767235293380764,0.0,17.70289174542731,0.59045217196519,16.973458566094113,49.43411025747914,0.0,1.4862654408032043,32.853943206984376,12.826588537150254,33.09342055830276,0.0,5.386345053147997,0.5145850975794022
test std,5.342424278512174,3.4317411069481754,0.0,17.623409968878065,2.012237255268646,7.880701256719296,2.9233548024878186,0.0,22.231766051488414,0.03675268896867486,1.309156462383911,1.091995692435076,0.0,3.9322887385950693,1.2355973047686266,4.7598295074222605,0.5539986937885203,0.0,14.250929486212582,0.027419252332278054
