,F1,Acc,precision,Auc
train tissue 0,0.0,49.99999999999997,0.0,0.42923076923076914
train tissue 1,0.0,50.0,0.0,0.4667919799498746
train tissue 2,0.0,50.0,0.0,0.4326666666666662
train tissue 3,0.0,50.0,0.0,0.6068052930056711
train tissue 4,0.0,50.00000000000002,0.0,0.45785714285714285
train tissue 5,0.0,50.0,0.0,0.5637681159420291
train tissue 6,0.0,50.0,0.0,0.5888888888888889
train tissue 7,0.0,50.000000000000014,0.0,0.5098039215686271
train tissue 8,0.0,50.00000000000002,0.0,0.44113475177305006
train tissue 9,0.0,50.00000000000002,0.0,0.5988063660477456
train tissue 10,0.0,50.00000000000002,0.0,0.578039927404719
train tissue 11,0.0,50.0,0.0,0.4984820886460231
train tissue 12,0.0,49.999999999999986,0.0,0.49215070643642034
train tissue 13,0.0,50.0,0.0,0.4270833333333335
train tissue 14,0.0,50.0,0.0,0.4753846153846151
train tissue 15,0.0,49.999999999999964,0.0,0.5265151515151512
train tissue 16,0.0,50.000000000000014,0.0,0.5238095238095242
train tissue 17,0.0,50.0,0.0,0.44987468671679176
train tissue 18,0.0,49.999999999999986,0.0,0.36065573770491766
train mean,0.0,50.0,0.0,0.4961973508885241
train std,0.0,1.572008455159306e-14,0.0,0.0665389646641104
test tissue 0,0.0,50.000000000000036,0.0,0.6379487179487182
test tissue 1,0.0,50.000000000000014,0.0,0.46249999999999997
test tissue 2,0.0,49.99999999999999,0.0,0.5435606060606059
test tissue 3,0.0,50.0,0.0,0.5827586206896552
test tissue 4,0.0,50.0,0.0,0.48360655737704883
test tissue 5,0.0,49.99999999999999,0.0,0.4917293233082706
test tissue 6,0.0,50.000000000000014,0.0,0.48215366001209903
test tissue 7,0.0,49.999999999999986,0.0,0.5525451559934317
test mean,0.0,50.00000000000001,0.0,0.5296003301737287
test std,0.0,1.5280799322856756e-14,0.0,0.05655728559906699
