plant,time point,label,isCellTest
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,0,False
P1,0,1,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,1,1,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,1,1,False
P1,1,0,False
P1,1,1,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,1,1,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,0,False
P1,1,1,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,1,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,2,0,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,0,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P1,3,1,False
P1,3,0,False
P1,3,0,False
P1,3,1,False
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,1,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,1,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,0,True
P2,0,1,True
P2,0,0,True
P2,0,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,1,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,1,True
P2,1,0,True
P2,1,1,True
P2,1,1,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,1,0,True
P2,2,0,True
P2,2,1,True
P2,2,1,True
P2,2,1,True
P2,2,1,True
P2,2,0,True
P2,2,1,True
P2,2,0,True
P2,2,0,True
P2,2,0,True
P2,2,1,True
P2,2,0,True
P2,2,0,True
P2,2,0,True
P2,2,0,True
P2,2,1,True
P2,2,0,True
P2,2,0,True
P2,2,0,True
