plant,time point,cell,clustering coefficient,information centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,harmonic centrality.1,abs graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,weighted node degree.3,clustering coefficient.3,information centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p3 FM6 flower 1,0,13266,0.4,0.0090896020618404,0.0064438053827728,0.0875043833898806,41.44960317460316,0.231578947368421,0.7346074054288769,0.1201054965354808,0.1804276949027957,0.0001811402944215,0.0131452992047574,0.0063067692429342,0.0875043833898806,0.0845886564663737,2236.431407327851,0.231578947368421,0.0446389710465401,0.0147151006817119,1.6284642748565468,0.029970125814038,0.0022357050859069,0.0002115883837797,0.0062085792239792,0.0875043833898806,0.0857675945046971,214.3382285906501,0.231578947368421,0.4586467179518313,0.1624677206160046,0.7695376457021267,0.0460271332166207,0.0011636653528287,0.0010180235319062,0.0063321451207022,0.0875043833898806,395.4195437185025,0.231578947368421,0.2579135486502921,0.0774946505469031
p3 FM6 flower 1,0,13307,0.5,0.008525792498735,0.0055057129762663,0.081411617078515,40.75086580086579,0.2263157894736842,0.7638471892964344,0.1353775650083822,0.3002179336705977,0.0001835487258711,0.1348961702303098,0.0059822721877188,0.081411617078515,0.0736741367250151,1927.8095481654548,0.2263157894736842,0.0529701525974816,0.0166897572710131,1.1154402476323488,0.0383444686660059,0.0020116875584003,0.0003207982787091,0.0043407186613719,0.081411617078515,0.0552129966345199,195.1326423892456,0.2263157894736842,0.5028677634540009,0.1673522612424828,0.7263356364522362,0.0653069801855623,0.0011288664153533,0.0068116878342336,0.0057222957326893,0.081411617078515,345.7069622935669,0.2263157894736842,0.2621446787441684,0.0837187958041921
p3 FM6 flower 1,0,13326,0.4,0.0090213166014029,0.0064671469189911,0.085848429977822,39.29761904761912,0.2456140350877193,0.7959765987503051,0.1375721424120616,0.2095769217247858,0.000187724702277,0.0045206063336796,0.0065637468040265,0.085848429977822,0.0807113008557807,1919.1416228236685,0.2456140350877193,0.0509807808946443,0.0179251441462536,1.4972998889468725,0.0278885761782033,0.0021679113027829,0.0001618930524879,0.0055145278143262,0.085848429977822,0.0711002330666007,203.0954037628053,0.2456140350877193,0.4545339309100909,0.1849932583108943,0.6883014248872168,0.045085068692859,0.0011396040358587,4.044962949278373e-05,0.0060250213237938,0.085848429977822,352.5428223557833,0.2456140350877193,0.2578343498570788,0.0902314340721629
p3 FM6 flower 1,0,13327,0.4,0.0089822705983646,0.0065035207751745,0.0861288504293929,39.8416666666667,0.2456140350877193,0.7949814819885639,0.1162101761773423,0.1790991096859157,0.0001785594761517,0.0018410661980756,0.0061337969504958,0.0861288504293929,0.0760917623059475,2117.801446215237,0.2456140350877193,0.0458848239335559,0.0166395866525629,1.2348328162509496,0.026883498096343,0.0020444432475893,2.643732334807235e-05,0.0051645516271573,0.0861288504293929,0.0617542783579859,213.4362599205004,0.2456140350877193,0.4454819010835527,0.1957360848264669,0.681392855283257,0.0440026185777529,0.0011284942355641,2.7052554469375983e-05,0.0058841681547293,0.0861288504293929,361.8412049904288,0.2456140350877193,0.2630520143344467,0.0939841076219613
p3 FM6 flower 1,0,13331,0.4,0.009008426813253,0.0064813416153345,0.0850543650881505,40.08055555555556,0.2794117647058823,0.939634704362741,0.1546023860727571,0.2317397559900364,0.0001914721624754,0.0114752334325648,0.0071157852306812,0.0850543650881505,0.0831345510741803,1886.9017704543987,0.2794117647058823,0.0475016099771928,0.0207506078592169,2.9081336066639984,0.0334108703903114,0.0023252589292081,0.0012633343254457,0.0091125990939275,0.0850543650881505,0.0838804224113356,208.89752956469607,0.2794117647058823,0.4393395925955834,0.1940115416481042,0.7372459557385317,0.0474433595963081,0.0011492955442082,0.0002112842952235,0.0064784611474588,0.0850543650881505,367.0460173282364,0.2794117647058823,0.2323987370629115,0.111598037320605
p3 FM6 flower 1,0,13345,0.5,0.0086683703353953,0.0054800846574495,0.0812302334771947,40.67142857142855,0.2263157894736842,0.66114309763023,0.0992560581908635,0.2252844440810859,0.0001744547166579,0.0085299472156473,0.0048457109412816,0.0812302334771947,0.0615449762599828,2141.625248777863,0.2263157894736842,0.0466081460488547,0.0134234791259843,0.8704979217329865,0.0343961174849666,0.0018949922137504,0.0024743407329462,0.0033848427060959,0.0812302334771947,0.0387248144794585,221.0887804182192,0.2263157894736842,0.4826683886860281,0.1475582024220554,0.5596657571367083,0.051528254025455,0.0010760931119411,0.0001715134312925,0.0051068834808855,0.0812302334771947,381.27491614173294,0.2263157894736842,0.2334354565295907,0.0681361938601279
p3 FM6 flower 1,0,13355,0.3333333333333333,0.0093002825688472,0.0074560892398579,0.0937318052092833,40.5761904761905,0.2285714285714285,0.7527202003793263,0.152816608547215,0.1720011993129648,0.000191126052844,0.0033932536116037,0.0072305918489832,0.0937318052092833,0.0961109804379271,2019.307874394396,0.2285714285714285,0.0534296584118296,0.0172970738033873,1.7670726905608412,0.0261152892529218,0.0022127045010445,0.0001967037639607,0.0065030764210927,0.0937318052092833,0.0861862239521886,203.84759524248227,0.2285714285714285,0.4975543106562332,0.1830979324325973,0.8178223058143702,0.0389488950714953,0.0011798371114331,1.0565223564248438e-05,0.0068832634209629,0.0937318052092833,358.4018748840661,0.2285714285714285,0.2735804431172752,0.0859392447839954
p3 FM6 flower 1,0,13371,0.4,0.0088614971583131,0.0064721029213581,0.0866540191964191,38.8015873015874,0.2368421052631578,0.7247331038038066,0.1552216484035581,0.2339970991112498,0.00019063778384,0.0065819622240976,0.006667200136106,0.0866540191964191,0.0798342323656807,1724.2895640117467,0.2368421052631578,0.0584437844912578,0.0185252748511834,2.389813256207019,0.0366717496506714,0.0023011501726151,0.0020757907951271,0.0071411723377822,0.0866540191964191,0.0767340437083171,202.7621017533658,0.2368421052631578,0.4880864872410787,0.2188886343093009,0.7558894057118226,0.04777105971265,0.0011443621160743,1.2349838454963363e-05,0.0064559437410351,0.0866540191964191,342.2860810623911,0.2368421052631578,0.2644469106818566,0.0832220863267333
p3 FM6 flower 1,0,13372,0.4,0.0087473076456682,0.00652568937683,0.0859246062587174,38.3159090909092,0.2456140350877193,0.7895847032078734,0.170643866681994,0.2552303698719319,0.0001906446896316,0.0060651314756937,0.0073496835807669,0.0859246062587174,0.0800361992877641,1707.4923526368625,0.2456140350877193,0.0559423717631819,0.0196391013267592,3.432974406896317,0.0385615693460208,0.0022808374007289,0.0012642361354107,0.0097415744937989,0.0859246062587174,0.0748195967582185,194.45155386808096,0.2456140350877193,0.4687945508808589,0.1791756896113785,0.7712036796830724,0.0501802679994181,0.0011302459177057,5.699595073924757e-06,0.0065302488462048,0.0859246062587174,332.9644617477673,0.2456140350877193,0.2661605630649828,0.0964229875135531
p3 FM6 flower 1,0,13419,0.5,0.0083719104006111,0.0055580678294903,0.0805688446605091,39.16309523809532,0.239766081871345,0.7014834053645745,0.1393343024435726,0.2967506504657404,0.0001816012498114,0.0087744254220824,0.0062368570292493,0.0805688446605091,0.0692342927890776,1913.063548789003,0.239766081871345,0.0449672672803262,0.0147287295172511,1.3453426944315945,0.043006343818916,0.0021105382212255,0.0147808840766985,0.0046626014024158,0.0805688446605091,0.0529220603985302,195.80851247915496,0.239766081871345,0.4690073328224746,0.2021674559525001,0.6818395824469968,0.0610931683041433,0.0010737116477315,6.534236508751237e-05,0.0059497720421844,0.0805688446605091,372.0907883359975,0.239766081871345,0.2403412549241882,0.0780361624226004
